track_id,genres,artist_name,explicit,tempo,release_date,energy,key,popularity,duration_ms,mode,time_signature,album_name,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness,song_name,audio_profile_score,matched_taste_cluster,genre_preference_score,personalized_score,spotify_url
7s4USejbr9Kqj7PpG8Yh6J,"['dance pop', 'pop', 'pop rap']",Taio Cruz,False,119.92,2010-01-01,0.687,1.0,32.0,,1.0,4.0,Rokstarr,0.0643,0.719,0.544,0.021,0.109,0.0,-5.923,Dirty Picture,0.9622221440076828,2,0.6362926548501134,0.897036246176169,https://open.spotify.com/track/7s4USejbr9Kqj7PpG8Yh6J
0TJvCwVLIjUe2W4Chmy22v,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Unknown Artist,False,163.962,2010-01-01,0.837,11.0,13.0,,0.0,4.0,Neon,0.0786,0.638,0.476,0.0816,0.315,0.0,-6.501,Miss Popular,0.9603806013862292,4,0.6362926548501134,0.8955630120790061,https://open.spotify.com/track/0TJvCwVLIjUe2W4Chmy22v
2YrVQLZ9tsRwscXxgq646O,"['dance pop', 'pop', 'pop dance', 'pop rap']",Unknown Artist,False,107.026,2016-05-06,0.806,8.0,28.0,,0.0,4.0,"At Night, Alone.",0.0633,0.717,0.519,0.0901,0.156,0.0,-8.348,Not That Simple - Kyle Tree Remix,0.9580666273832321,2,0.6450273318008386,0.8954587682667535,https://open.spotify.com/track/2YrVQLZ9tsRwscXxgq646O
00qyVgLK2j92HYoFaNCnVD,"['dance pop', 'pop', 'pop rap']",Unknown Artist,False,119.923,2010-01-01,0.669,1.0,40.0,,1.0,4.0,The Rokstarr Hits Collection,0.0723,0.714,0.54,0.016,0.11,0.0,-6.461,Dirty Picture,0.9594629829128584,2,0.6362926548501134,0.8948289173003094,https://open.spotify.com/track/00qyVgLK2j92HYoFaNCnVD
3IAErgL8mZnj4rypSBYnBr,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Unknown Artist,True,160.229,2011-12-02,0.682,10.0,0.0,,1.0,4.0,rEVOLVEr (Deluxe Version),0.0936,0.682,0.513,0.125,0.222,0.0,-5.243,Look at Her Go (feat. Chris Brown),0.9626804292201996,4,0.6225046180087715,0.894645266977914,https://open.spotify.com/track/3IAErgL8mZnj4rypSBYnBr
0prbvDtiY8FrZKEj8LF4Rs,"['dfw rap', 'melodic rap', 'pop', 'rap']",Post Malone,False,100.924,2022-06-03,0.681,5.0,58.0,,1.0,4.0,Twelve Carat Toothache,0.0745,0.736,0.481,0.106,0.12,0.0,-6.063,I Like You (A Happier Song) (with Doja Cat),0.9759854773680369,2,0.5688151481260303,0.8945514115196356,https://open.spotify.com/track/0prbvDtiY8FrZKEj8LF4Rs
0GWYApQBwErVPkyXYCTJjI,"['dance pop', 'girl group', 'pop']",The Pussycat Dolls,False,120.014,2020-02-07,0.74,10.0,0.0,204176.0,0.0,4.0,React,0.0697,0.745,0.544,0.116,0.117,0.0,-5.719,React,0.9770476371049881,2,0.5628452510562199,0.8942071598952345,https://open.spotify.com/track/0GWYApQBwErVPkyXYCTJjI
5YHtQaUrOdKHeyDPHvVa6x,"['dance pop', 'pop']",Unknown Artist,False,132.75,1985-02-14,0.46,0.0,40.0,,0.0,4.0,Whitney Houston (The Deluxe Anniversary Edition),0.0276,0.587,0.3,0.512,0.14,0.0,-11.357,All at Once,0.9736528396606445,0,0.5628452510562199,0.8914913219397597,https://open.spotify.com/track/5YHtQaUrOdKHeyDPHvVa6x
0mVapHj1zhlVpHChhXRWc3,"['dance pop', 'pop', 'talent show']",Kelly Clarkson,False,112.058,2019-04-26,0.732,8.0,38.0,,1.0,4.0,UglyDolls (Original Motion Picture Soundtrack),0.0366,0.73,0.546,0.0823,0.0757,0.0,-2.556,Broken & Beautiful,0.9684106906255087,2,0.5628452510562199,0.8872976027116509,https://open.spotify.com/track/0mVapHj1zhlVpHChhXRWc3
5u1kFWItrvidV7dEDa3j1T,"['dance pop', 'pop', 'urban contemporary']",Unknown Artist,False,117.527,2015-05-15,0.503,1.0,34.0,,1.0,4.0,#1 to Infinity,0.0338,0.496,0.329,0.503,0.105,0.0,-6.433,Against All Odds (Take A Look at Me Now) (feat. Westlife),0.9682139530777931,0,0.5628452510562199,0.8871402126734785,https://open.spotify.com/track/5u1kFWItrvidV7dEDa3j1T
