track_id,song_name,artist_name,artist_id,album_name,duration_ms,popularity,added_at,artist_genres,spotify_url,release_year,artist_followers,genres,album_total_tracks,artist_popularity,tempo,energy,key,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
22BH6K8RlpwNzIINvWS4Jj,(Not) The One,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,181674,44,2026,,https://open.spotify.com/track/22BH6K8RlpwNzIINvWS4Jj,2017,9009684.0,"['dance pop', 'pop']",6.0,76.0,97.935,0.731,8.0,1.0,4.0,0.116,0.61,0.724,0.0281,0.272,0.0,-5.187
0vQkcuwAFnIuYmIQRCYNA8,Get Me Litt,"Tyga, YG",5LHRHt1k9lMyONurDHEdrp,Hit Me When U Leave The Klub: The Playlist,134400,36,2026,,https://open.spotify.com/track/0vQkcuwAFnIuYmIQRCYNA8,2023,6784058.0,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",14.0,75.0,98.9,0.584,4.0,1.0,4.0,0.318,0.682,0.677,0.036,0.129,0.0,-7.92
77U6kcldLRFl9vCfaw11Sr,Champagne & Sunshine,"PLVTINUM, Tarro",4V2pR2iSd1g0RZCglrP3jn,Champagne & Sunshine,196363,73,2026,dark r&b,https://open.spotify.com/track/77U6kcldLRFl9vCfaw11Sr,2016,328074.0,['dark r&b'],1.0,57.0,109.961,0.522,5.0,0.0,4.0,0.0704,0.607,0.265,0.0553,0.0909,0.0,-10.028
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",6f4XkbvYlXMH0QgVRzW0sM,Flockaveli,263773,86,2026,,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,2010,2649008.0,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",17.0,62.0,131.497,0.595,1.0,1.0,4.0,0.0391,0.76,0.361,0.00544,0.241,0.0,-6.366
5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, LISA",6udveWUgX4vu75FF0DTrXV,Down to Earth,205101,63,2026,k-pop,https://open.spotify.com/track/5HrIcZOo1DysX53qDRlRnt,2023,1365246.0,"['k-pop', 'korean r&b']",6.0,59.0,110.01,0.699,11.0,0.0,4.0,0.0554,0.763,0.255,0.00789,0.409,0.0,-6.118
1Bhm5HNO1cq8olDbBmokyL,Copines,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,171720,86,2026,french r&b; pop urbaine,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL,2018,4493003.0,"['basshall', 'pop urbaine', 'r&b francais']",13.0,69.0,180.027,0.787,8.0,0.0,4.0,0.0855,0.701,0.904,0.27,0.105,0.0,-3.941
0TYhf0MgEj4YJaKwo5c4Km,Wicked Games,Kiana Ledé,7jZMxhsB8djyIbYmoiJSTs,Selfless,181266,65,2026,,https://open.spotify.com/track/0TYhf0MgEj4YJaKwo5c4Km,2018,1673372.0,"['pop r&b', 'r&b']",7.0,57.0,72.973,0.435,1.0,0.0,3.0,0.0599,0.789,0.456,0.447,0.135,0.0,-7.042
3Zt0VZcBR4DGmuEzpJh7PR,Candyman,Flyana Boss,0CLW5934vy2XusynS1px1S,Candyman,172115,48,2026,,https://open.spotify.com/track/3Zt0VZcBR4DGmuEzpJh7PR,2024,182659.0,['trap queen'],1.0,51.0,166.006,0.58,1.0,1.0,4.0,0.0806,0.748,0.246,0.0396,0.101,0.0,-4.994
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard",7c0XG5cIJTrrAgEC3ULPiq,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",242983,84,2026,trap soul,https://open.spotify.com/track/7t2bFihaDvhIrd2gn2CWJO,2014,5199207.0,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",1.0,83.0,121.97,0.33,1.0,0.0,4.0,0.1,0.805,0.211,0.22,0.105,0.0,-8.712
4RKJRRd4VJfZWiqQTYsleE,Already Best Friends (feat. Chris Brown),"Jack Harlow, Chris Brown",2LIk90788K0zvyj2JJVwkJ,Thats What They All Say,197031,68,2026,,https://open.spotify.com/track/4RKJRRd4VJfZWiqQTYsleE,2020,3736563.0,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",15.0,79.0,103.005,0.575,10.0,0.0,4.0,0.0702,0.873,0.872,0.0891,0.108,0.0,-7.284
3j84U36KvLeXNDPv4t5pI8,Pure Water (with Migos),"Mustard, Migos",0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,192470,78,2026,,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,2019,1172707.0,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",10.0,67.0,202.015,0.559,0.0,1.0,4.0,0.127,0.682,0.137,0.174,0.344,0.0,-5.545
6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),235986,88,2026,rap,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ,2011,86988887.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",19.0,93.0,151.894,0.566,6.0,0.0,4.0,0.106,0.636,0.425,0.365,0.0917,0.000353,-7.16
7gXiPiffMrqPe3Q1vzD6uM,拿走了什麼,A-Lin,28gf2piFx6cAKOMIwcky5a,罪惡感,296573,62,2026,mandopop; taiwanese pop; c-pop; gufeng; malay pop,https://open.spotify.com/track/7gXiPiffMrqPe3Q1vzD6uM,2014,917585.0,['mandopop'],10.0,54.0,75.014,0.29,0.0,1.0,4.0,0.0293,0.529,0.286,0.745,0.359,0.0,-10.739
1e8J3XClxZbFmvIHLI8CE4,IDOL,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Love Yourself 結 'Answer',222732,80,2026,k-pop,https://open.spotify.com/track/1e8J3XClxZbFmvIHLI8CE4,2018,72592415.0,"['k-pop', 'k-pop boy group', 'pop']",26.0,83.0,126.035,0.855,9.0,1.0,4.0,0.118,0.733,0.42,0.00481,0.123,0.0,-3.211
1BuZAIO8WZpavWVbbq3Lci,Powerglide (feat. Juicy J) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",7iZtZyCzp3LItcw1wtPI3D,SR3MM,332300,66,2026,,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci,2018,7355384.0,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",27.0,67.0,173.948,0.831,1.0,0.0,4.0,0.15,0.713,0.584,0.0168,0.118,0.0,-4.75
5lje0ODDPqwx5x9TLYwUfv,Overdose,Vin Jay,2DQkr7ZMTqNrlz5HcXZeI7,Prophecy,180869,37,2026,,https://open.spotify.com/track/5lje0ODDPqwx5x9TLYwUfv,2020,112251.0,['nyc rap'],16.0,49.0,138.081,0.816,9.0,1.0,4.0,0.0866,0.783,0.607,0.346,0.128,0.00015,-5.769
5uqphUYsR45kPYplrYSAQh,Throw Sum Mo,"Rae Sremmurd, Nicki Minaj, Young Thug",7iZtZyCzp3LItcw1wtPI3D,SremmLife,260453,68,2026,,https://open.spotify.com/track/5uqphUYsR45kPYplrYSAQh,2015,7355384.0,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",11.0,67.0,142.062,0.627,6.0,0.0,4.0,0.13,0.859,0.594,0.0388,0.101,0.000202,-7.91
4qdHoLbbIDaaWytfsBK62p,Booty Dancer,Tyga,5LHRHt1k9lMyONurDHEdrp,Booty Dancer,140982,50,2026,,https://open.spotify.com/track/4qdHoLbbIDaaWytfsBK62p,2022,6784058.0,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1.0,75.0,110.002,0.496,1.0,1.0,4.0,0.0853,0.746,0.12,0.00277,0.158,0.0,-4.343
1ruGTdtJpY6GVuJuWhYI5Q,Stuck On Stupid,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Fortune (Expanded Edition),238946,45,2026,r&b,https://open.spotify.com/track/1ruGTdtJpY6GVuJuWhYI5Q,2012,21475109.0,"['r&b', 'rap']",22.0,84.0,81.981,0.72,1.0,1.0,4.0,0.0377,0.516,0.376,0.00801,0.109,0.0,-6.253
0rNLaGUleZ91DXMxmZNq5v,Fireworks (I'm The One),ATEEZ,68KmkJeZGfwe1OUaivBa2L,ZERO : FEVER Part.2,209574,62,2026,k-pop; noise music,https://open.spotify.com/track/0rNLaGUleZ91DXMxmZNq5v,2021,3856504.0,"['k-pop', 'k-pop boy group']",7.0,69.0,130.036,0.904,0.0,1.0,4.0,0.0872,0.724,0.728,0.0419,0.163,4.79e-06,-3.815
3IXSxojIjh3YuVK53HJQUN,LOVE ME LIKE,OMEGA X,2FJYWlqgtoiBtXpOy9GGIF,LOVE ME LIKE,174386,47,2026,k-pop; noise music,https://open.spotify.com/track/3IXSxojIjh3YuVK53HJQUN,2022,249576.0,['k-pop'],5.0,40.0,97.959,0.835,6.0,1.0,4.0,0.0472,0.711,0.543,0.0338,0.329,5.65e-06,-2.204
1Sftw4WKhFJGv7qQXlse4Y,Double Knot,Stray Kids,2dIgFjalVxs4ThymZ67YCE,SKZ2020,191546,59,2026,k-pop; noise music,https://open.spotify.com/track/1Sftw4WKhFJGv7qQXlse4Y,2020,15173090.0,"['k-pop', 'k-pop boy group', 'pop']",24.0,79.0,146.944,0.738,5.0,0.0,4.0,0.365,0.752,0.585,0.0541,0.526,0.0,-5.341
56s9OQ9s0YX3U0JncipqLU,Empty Room,Jamie Miller,2LkkwxA19J8C52wPQl5bG6,The Things I Left Unsaid,184746,61,2026,,https://open.spotify.com/track/56s9OQ9s0YX3U0JncipqLU,2023,595506.0,"['pop soul', 'singer-songwriter pop']",6.0,63.0,86.281,0.416,4.0,1.0,4.0,0.0398,0.599,0.29,0.592,0.134,0.0,-7.017
